url,ads_id,title,price,type,land_area,building_area,bedrooms,bathrooms,maid_bedrooms,maid_bathrooms,ruang_tamu,ruang_makan,additional_rooms,floors,certificate,address,address_road,address_city,address_district,address_subdistrict,garage_capacity,carport_capacity,facilities,description,posting_date,posting_date_month,posting_date_year,poster,electricity_capacity,house_orientation,image_url,similarity_score
https://www.olx.co.id/item/dijual-apartemen-bersih-dan-nyaman-di-taman-melati-margonda-depok-iid-925151141,925151141,"Dijual Apartemen bersih dan nyaman di Taman Melati - Margonda, DEPOK",480000000.0,Apartemen,23.0,23.0,1,1,0.0,0.0,0.0,0.0,1,1.0,HGB,Apartemen Taman Melati Margonda – Depok Kota,Beji,Depok Kota,Beji,Beji,1,0,"['AC', 'Swimming Pool', 'Garasi', 'Garden', 'PAM', 'Water heater', 'Refrigerator', 'Stove', 'Gordyn']","['dijual apartemen bersih dan nyaman di taman melati margonda – depok kota', 'spesifikasi:', '• luas bangunan : 23,70 m2', '• tower: a', '• lantai : 15', '• kamar tidur : 1', '• kamar mandi: 1', '• sertifikasi : strata title / hgb', 'lokasi', '• apartemen taman melati margonda – depok kota', '• alamat lokasi : jalan margonda raya, grand taman melati, kota depok', '(jawa barat) - 16424', '• tower : a', '• lantai : 15', '• kota: depok', 'apartemen taman melati depok merupakan apartemen yang strategis karena berada di lokasi jalan utama margonda.', 'fasilitas unit:', '• ac', '• gordyn', '• sumber air: pdam', '• listrik: 1300 watt (dari pln)', '• refrigerator', '• tv cabinet + tv', '• lemari baju', '• meja rias', '• meja kerja/belajar', '• kitchen set', '• water heater', '• tempat tidur sudah dilengkapi dengan kasur, bantal, guling dan seprei (bisa dilipat bila tidak diguanakan)', '•condition: fully furnised.', 'fasilitas apartemen  & sekitar:', '•security access 24 jam', '•kolam renang', '•area parkir', '•mini market', '•laundry', '•restaurant', '•transportasi umum 24 jam', '•dekat universitas indonesia, univ pancasila, univ gunadarma', '•dekat stasiun krl', '•banyak restaurant dan warung tenda disepanjang jalan margonda', '•dekat mall seperti detos mall dan margocity mall', '•dekat rumah sakit bunda dan rumah sakit mitra keluarga depok', 'cocok untuk tempat tinggal mahasiswa dan karyawan yang beraktivitas di sekitar depok .', 'unit siap untuk dihuni serta nyaman.', 'harga rp 490.000.000,-', '(#empat ratus sembilan puluh juta rupiah#)', 'harga masih bisa nego.', 'peminat serius hubungi:', 'bapak yanuar h / ibu anies a']",30 August 2024,8,2024,anies ambarwati,1300.0,,"['https://apollo.olx.co.id/v1/files/66d19654e4ade-ID/image', 'https://apollo.olx.co.id/v1/files/66d1965d68a41-ID/image', 'https://apollo.olx.co.id/v1/files/66d19664ba400-ID/image', 'https://apollo.olx.co.id/v1/files/66d19667dade4-ID/image', 'https://apollo.olx.co.id/v1/files/66d1966e10095-ID/image', 'https://apollo.olx.co.id/v1/files/66d1967251ec4-ID/image', 'https://apollo.olx.co.id/v1/files/66d19678a7eb3-ID/image', 'https://apollo.olx.co.id/v1/files/66d196868ce63-ID/image']",0.5330360674576207
https://www.olx.co.id/item/rumah-kpr-2-lantai-sukmajaya-3-juta-all-in-free-semua-biaya-iid-923561623,923561623,Rumah KPR 2 Lantai Sukmajaya 3 Juta All in Free semua biaya,1200000000.0,Rumah,100.0,100.0,3,3,0.0,0.0,0.0,0.0,1,1.0,,,Sukmajaya,Depok Kota,Sukmajaya,Sukmajaya,0,0,,"['rumah cantik di kota depok.', 'hanya 2 unit', 'setelah sukses dengan tahap sebelumya kini kita bangun lagi dengan konsep yang lebih menarik, desain modern yang semakin menawan dengan harga yang sangat terjangkau.', 'dengan peminatan yang luar biasa,', 'kelebihan perumahan kami :', 'dibuat khusus untuk kebutuhan kamu,hunian milik sendiri dengan desain yang kekinian.', 'proses kpr tanpa dp 0%.', 'lokasi di sukmajaya kota depok.', '10 stasiun depok lama dan baru', '10 menit ke itc depok', '15 menit ke tol margonda 2', 'dekat ke fasilitas pendidikan tk, sd dan smp', 'dekat pusat kota depok menit ke minimarket', 'dekat ke fasilitas kesehatan, puskemas', 'dekat ke spbu', 'dekat alun_alun depok', 'tersedia tipe :', 'luas tanah : 100 m', 'luas bangunan : 100m', 'kamar tidur : 3', 'kamar mandi :3', 'cukup 3 juta bisa langsung akad.', 'karena proses kprnya sangat mudah dan cepat.', 'tertarik?', 'pengen tau lokasinya?', 'hub marketing :']",8 September 2024,9,2024,Muhammad Safuan Properti,,,"['https://apollo.olx.co.id/v1/files/66dd0cc97733b-ID/image', 'https://apollo.olx.co.id/v1/files/66dd0cca89bdd-ID/image', 'https://apollo.olx.co.id/v1/files/66dd0cca89acd-ID/image', 'https://apollo.olx.co.id/v1/files/66dd0cca7e586-ID/image', 'https://apollo.olx.co.id/v1/files/66dd0ccb52b7b-ID/image', 'https://apollo.olx.co.id/v1/files/66dd0ccb98b19-ID/image', 'https://apollo.olx.co.id/v1/files/66dd0ccba8226-ID/image']",0.35952094549523284
https://www.olx.co.id/item/rumah-konsep-mezzanine-dekat-stasiun-dan-tol-didepokmg-iid-925424283,925424283,RUMAH KONSEP MEZZANINE DEKAT STASIUN DAN TOL DIDEPOK.MG,450000000.0,Rumah,72.0,41.0,2,1,0.0,0.0,0.0,0.0,1,1.0,SHM,,Cipayung,Depok Kota,Cipayung,Cipayung,0,0,,"['dp 0%', 'cicilan mulai 1,5 jt', 'harga mulai 400 jutaan (sudah dapat rumah rumah konsep mezzanine)', 'saatnya anak milenial punya rumah impian dekat stasiun depok', 'lokasi belakang dipo di cipayung depok', 'type 41/72', 'kamar tidur 2', 'kamar mandi 1', 'listrik 1.300 watt', 'sumur bor+torn', 'bonus :', '- mesin air jetpump', '- toren air', 'promo', 'cicilan subsidi', '1 juta (selama 12 bulan)', 'akses terdekat lokasi :', '- stasiun krl depok lama ( 5 menit / 3, 5 km)', '- stasiun krl depok baru', '- pintu tol margonda depok', '- alun-alun kota depok ( 3km)', '- perumahan grand depok city (gdc)', '- kantor dprd kota depok', '- mall margocity', '- itc depok', '- jl. margonda raya', '- sekolah', 'kpr harga sudah termasuk :', '- shm + pbg (imb)', '- bphtb', '- balik nama shm', '- akta jual beli (ajb)', '- biaya kpr', 'surat sudah pecah', '(shm dan imb)', 'fasilitas :', '-one gate sistem', '- security 24 jam', 'segera survey dan dapatkan harga perdana']",6 September 2024,9,2024,Dedi - ELpro Propertindo,1300.0,,"['https://apollo.olx.co.id/v1/files/66dab5c257055-ID/image', 'https://apollo.olx.co.id/v1/files/66dab5c37b6d1-ID/image', 'https://apollo.olx.co.id/v1/files/66dab5c3ad4c8-ID/image', 'https://apollo.olx.co.id/v1/files/66dab5c3a8705-ID/image', 'https://apollo.olx.co.id/v1/files/66dab5c3696bc-ID/image', 'https://apollo.olx.co.id/v1/files/66dab5c4e7e47-ID/image']",0.3584327194170547
https://www.olx.co.id/item/rumah-tanpa-dp-dekat-stasiun-citayam-dan-tol-di-depokmg-iid-925508241,925508241,RUMAH TANPA DP DEKAT STASIUN CITAYAM DAN TOL DI DEPOK.MG,400000000.0,Rumah,72.0,41.0,2,1,0.0,0.0,0.0,0.0,1,1.0,SHM,,Cipayung,Depok Kota,Cipayung,Cipayung,0,0,,"['promo september ceria', 'harga mulai 400 jutaan (sudah dapat rumah rumah konsep mezzanine)', 'saatnya anak milenial punya rumah impian dekat stasiun depok', 'lokasi belakang dipo di cipayung depok', 'type 41/72', 'kamar tidur 2', 'kamar mandi 1', 'listrik 1.300 watt', 'sumur bor+torn', 'bonus :', '- mesin air jetpump', '- toren air', 'promo', 'cicilan subsidi', '1 juta (selama 12 bulan)', 'akses terdekat lokasi :', '- stasiun krl depok lama ( 5 menit / 3, 5 km)', '- stasiun krl depok baru', '- pintu tol margonda depok', '- alun-alun kota depok ( 3km)', '- perumahan grand depok city (gdc)', '- kantor dprd kota depok', '- mall margocity', '- itc depok', '- jl. margonda raya', '- sekolah', 'kpr harga sudah termasuk :', '- shm + pbg (imb)', '- bphtb', '- balik nama shm', '- akta jual beli (ajb)', '- biaya kpr', 'surat sudah pecah', '(shm dan imb)', 'fasilitas :', '-one gate sistem', '- security 24 jam', 'segera survey dan dapatkan harga perdana']",8 September 2024,9,2024,Dedi - ELpro Propertindo,1300.0,,"['https://apollo.olx.co.id/v1/files/66dd49df1caf5-ID/image', 'https://apollo.olx.co.id/v1/files/66dd49e04b306-ID/image', 'https://apollo.olx.co.id/v1/files/66dd49e02991d-ID/image', 'https://apollo.olx.co.id/v1/files/66dd49e01f467-ID/image', 'https://apollo.olx.co.id/v1/files/66dd49e07a2ad-ID/image']",0.3580948094873366
https://www.olx.co.id/item/rumah-1-lantai-setengah-termurah-di-depok-iid-925443285,925443285,Rumah 1 lantai setengah termurah di Depok,375000000.0,Rumah,60.0,40.0,2,1,0.0,0.0,1.0,0.0,1,1.0,SHM,Kota depok,Pancoran,Jakarta Selatan,Pancoran,Pancoran,1,1,"['AC', 'Carport', 'Garasi', 'Garden', 'Gordyn', 'PAM', 'Telephone']","['hunian mewah di cagar alam kota depok', 'tersedia 220 unit rumah', 'rumah 1 lantai setengah konsep mezzanine', '3 menit ke stasiun depok lama', 'harga cuma 375 juta cash', 'pembayaran cash bertahap 3x bayar', 'tidak di kpr', 'tidak di kredit', '"" legalitas :', 'shm', 'imb', 'pbb', '# fasilitas perumahan :', 'pos security', 'cctv', 'system keamanan 24 jam', 'jalan lebar masuk 2 mobil', 'lokasi bebas dari banjir , tidak ada sutet', 'lingkungan aman , ramai dan padat penduduk', 'lt : 60m', 'lb : 40m', 'kamar tidur : 2', 'kamar mandi : 1', 'ruang tamu', 'mezzanine', 'dapur', 'garasi', 'taman', 'teras', '# harga sudah termasuk :', 'biaya notaris', 'biaya balik nama shm', 'biaya surat - surat', 'torn air', 'air pdam', 'listrik token 1300 watt', 'ac', '# tersedia posisi di hook dan pojok', '# tersedia type :', '36/60', '40/70', '45/80', '50/90', '60/100', '65/120', '# spesifikasi :', 'pondasi batu kali + cakar ayam + sloop cor', 'dinding hebel , dobel dinding', 'closed duduk', 'atap genteng kanmuri', 'rangka atap baja ringan', 'plafond gypsum', 'air pdam', 'listrik token 1300 watt', 'lantai full granit', 'pintu panel', 'kusen alumunium', '# lokasi sangat strategis', '3 menit ke stasiun depok lama', 'dekat tol margonda', 'dekat transmart depok , itc depok', 'dekat plaza depok , mall depok', 'dekat margocity dan depok town square', 'dekat kampus ui , bsi , gunadarma', 'dekat terminal depok', 'dekat rs mitra keluarga', 'dekat rs hermina', 'dekat rs bakti yudha', 'dekat puskesmas , apotik , klinik , bidan', 'dekat pasar tradisional dan swalayan', 'dekat sekolah cakra buana , al - azhar , dll', 'dekat sdit , tk , paud', 'dekat wisata kuliner , dll .', '"" info lebih lengkap via whatsapp ""']",6 September 2024,9,2024,Sari,,,"['https://apollo.olx.co.id/v1/files/66dad39d145be-ID/image', 'https://apollo.olx.co.id/v1/files/66dad39e98d9e-ID/image', 'https://apollo.olx.co.id/v1/files/66dad39f42057-ID/image', 'https://apollo.olx.co.id/v1/files/66dad39f1fb6f-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a08ce9d-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a1ef51f-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a2d200a-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a351197-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a31138c-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a4300b4-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a5ebd01-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a6be595-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a66c59f-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a763a36-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a8d364b-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a82efeb-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3a9da03a-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3aa7be4b-ID/image', 'https://apollo.olx.co.id/v1/files/66dad3abc9636-ID/image']",0.34965088854913995
