Nation,Province,City,District,Listing URL
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/buc-rumah-bagus-baru-bangun-di-keputih-tegal-sukolilo-surabaya-timur-iid-927376837
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/harga-1m-an-saja-rumah-griya-asri-pakuwon-city-iid-932353565
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/jual-rumah-baru-termurah-di-wonorejo-medayu-rungkut-iid-930353598
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/rumah-dijual-di-surabaya-timur-murah-shm-luas-100m-3-kamar-free-biaya-iid-930119500
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/rumah-premium-mewah-double-way-araya-tahap-1-iid-931831781
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/jual-rumah-baru-manyar-dekat-klampis-nginden-semolowaru-kertajaya-iid-930841930
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/rumah-taman-mutiara-minimalis-siap-huni-pakuwon-city-iid-932353480
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dijual-apartemen-puncak-kertajaya-tower-b-lantai-2-full-furnished-iid-932353293
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dijual-rumah-pakuwon-city-surabaya-iid-932351856
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dharmahusada-permai-jalan-kembar-depan-unair-sebelah-galaxy-mall-iid-932351468
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/rumah-2-lantai-bagus-shm-di-sutorejo-utara-siap-huni-iid-932351238
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/rungkut-asri-tengah-2lt-siap-huni-iid-932350609
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dijual-rumah-turun-harga-rungkut-mapan-baru-gress-siap-huni-iid-932349987
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dijual-rumah-rungkut-barata-dengan-harga-miring-iid-932349963
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dijual-rumah-modern-minimalis-griya-asri-pakuwon-city-iid-932349895
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/rumah-minimalis-jarang-ada-graha-santoso-regency-iid-932349851
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dijual-rumah-baru-on-progress-kertajaya-indah-timur-ada-carport-garasi-iid-923281319
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/dijual-rumah-baru-one-gate-system-kertajaya-indah-regency-2-lantai-iid-922576193
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/harga-dibawah-pasaran-apartemen-educity-stanford-lantai-10-iid-932349270
Indonesia,Jawa Timur,Surabaya Kota,Sukolilo,https://www.olx.co.id/item/rumah-murah-dharmahusada-under-2m-iid-931966985
