Nation,Province,City,District,Listing URL
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/bagusss-bisa-split-2-rumah-hitung-tanah-saja-lokasi-mulyosari-iid-927358588
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-besar-lega-termurah-di-kelasnya-sukolilo-park-regency-iid-899587271
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-karang-asem-ploso-secondary-road-ngantong-iid-927354271
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-mulyosari-utara-surabaya-timur-new-100-baru-gress--iid-927361167
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/djual-rumah-new-minimalis-kertajaya-iid-932342051
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/royal-residence-iid-932342046
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-cantik-royal-residence-iid-932342031
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/wisata-bukit-mas-iid-932342024
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-cantik-luas-royal-residence-iid-932342020
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-murah-pakuwon-indah-ma-iid-932342010
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/taman-puspa-raya-iid-932342005
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-oakwood-royalresidence-iid-932342002
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-wisata-bukit-mas-2-iid-932341997
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-3lt-oasia-dian-istana-furnish-iid-932341990
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-surabaya-timur-dharmahusada-indah-utara-iid-930607647
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-dan-disewakan-rumah-surabaya-timur-dharmahusada-indah-iid-930607796
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-mulyosari-prima-surabaya-timur-iid-930607915
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-dijual-surabaya-timur-galaxy-bumi-permai-iid-930607507
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-dharmahusada-indah-surabaya-timur-iid-930607713
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-vila-bukit-regency-pakuwon-indah-surabaya-barat-terawat-d-iid-930607872
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-sutorejo-utara-surabaya-2-lantai-hadap-utara-iid-927311189
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/super-cantik-dijual-rumah-modern-furnished-griya-asri-pakuwon-city-iid-932339802
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/sutorejojual-rumah-baru-dekat-dharmahusadapakuwon-city-iid-932339737
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/sutorejojual-rumah-baru-dekat-pakuwon-citymulyosariwisma-permai-iid-932339665
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/raya-nginden-intan-surabaya-bisa-untuk-rumah-usaha-komersial-resto-dl-iid-932339615
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/mewah-jual-rumah-citraland-raffles-garden-surabaya-lebar-luas-2lantai-iid-932339557
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/stanford-barujual-apartemen-educity-studio-dekat-its-iid-932339488
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/banting-harga-jual-rumah-manyar-10jtmeter-hook-shm-1-lantai-iid-932339476
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/hook-jual-rumah-mojoarum-surabaya-1-lantai-ada-sisa-lahan-besar-shm-iid-932339447
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/pakuwon-cityjual-rumah-baru-full-furnish-iid-932339446
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/turun-harga-rumah-nginden-intan-barat-surabaya-dijual-shm-2-lantai-iid-932339407
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/jual-cepat-rumah-babatan-pantai-shm-2-lantai-surabaya-merr-kenjeran-iid-932339357
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/turun-harga-jual-rumah-nginden-intan-timur-surabaya-siap-huni-row-lbr-iid-932339315
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/banting-harga-jual-rumah-puri-gunung-anyar-dkt-medokan-rungkut-shm-iid-932339235
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/murah-jual-apartemen-gunawangsa-merr-surabaya-furnish-lt-17-studio-iid-932339199
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/super-minimalis-dijual-rumah-kertajaya-indah-timur-lokasi-strategis-iid-932339194
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-lt-162m2-manyar-jaya-surabaya-new-gress-iid-930313813
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-manyar-tirtoasri-tirtoyoso-kartika-new-gress-surabaya-timur-iid-928876980
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-secondary-3-lantai-siap-huni-regency-21-sby-timur-iid-932338370
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rmh-9x15-di-wisma-permai-waru-iid-932338250
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rmh-baru-furnish-di-pakuwon-city-iid-932338190
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-baru-renov-di-karang-empat-ploso-surabaya-iid-932337805
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/on-progres-ready-maret-2025rumah-baru-gress-pantai-mentari-iid-928966874
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/turun-harga-dijual-rugi-rumah-surabaya-timur-iid-930644116
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/furnish-baru-gress-apartemen-educity-studio-bisa-kpa-dekat-its-iid-932336623
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/pacar-kembang-rumah-progres-iid-927337508
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/ready-mei-2025-rumah-new-gress-pantai-mentari-surabaya-timur-iid-928966146
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-murah-rumah-darmo-harapan-hitung-tanah-iid-930631295
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/jual-cepatperumahan-griya-asri-pakuwon-city-mulyosari-iid-932335149
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/apartemen-educity-dkt-its-amor-pakuwon-city-iid-932334822
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-minimalis-kertajaya-indah-timur-dekat-galaxy-mall-mer-iid-932334804
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-pakuwon-city-griya-asri-minimalis-modern-iid-932334494
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-griya-babatan-mukti-wiyung-murahh-iid-932334359
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-manyar-kertoadi-new-mewah-iid-932334279
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-di-perumahan-sutorejo-indah-iid-932334251
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-apartemen-puncak-cbd-sangat-murah-iid-932334225
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-apartemen-puncak-permai-murah-iid-932334186
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-usaha-raya-tenggilis-mejoyo-iid-932334158
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-aruba-villa-pakuwon-city-new-minimalis-iid-932334141
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-grand-harvest-wiyung-surabaya-barat-murah-dkt-royal-residence-iid-932334124
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-rungkut-asri-tengah-siap-huni-iid-932334120
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-mulyosari-tengah-murahhh-iid-932334079
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-pondok-tjandra-indah-sidoarjo-baru-bebas-banjir-dkt-rungkut-merr-iid-932333609
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/jual-rumah-ketintang-selatan-gayungan-surabaya-dkt-gayungan-kebonsari-iid-932333337
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-ketintang-wiyata-surabaya-dkt-jambangan-ahmad-yani-iid-932333200
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-mulyosari-utara-new-iid-932332271
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/setro-baru-area-kenjeran-rumah-siap-huni-iid-923885589
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/manyar-kartika-rumah-baru-iid-928870825
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rangkah-kenjeran-rumah-hitung-tanah-iid-926326098
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/rumah-baru-tengah-kota-kertajaya-indah-timur-blok-o-dekat-merr-elit-ok-iid-932331480
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/juan-apartemen-cantik-anderson-iid-932330736
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-cantik-di-griya-asri-bisa-kpr-full-furnished-iid-932329926
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-dekat-raya-kenjeran-daerah-lebak-dekat-stasiun-gubeng-iid-932329220
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/new-house-wisma-permai-iid-932329169
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-pakuwon-indah-type-granada-furnish-strategis-siap-huni-iid-932328948
Indonesia,Jawa Timur,Surabaya Kota,Kenjeran,https://www.olx.co.id/item/dijual-rumah-wisma-permai-termurah-semi-furnished-iid-932328437
